bin_left,bin_right,bin_center,update_count,update_percentage,region
-0.75,-0.725,-0.7375,0,0.0,conflict
-0.725,-0.7,-0.7124999999999999,2,0.00781372089388967,conflict
-0.7,-0.675,-0.6875,4,0.01562744178777934,conflict
-0.675,-0.65,-0.6625000000000001,4,0.01562744178777934,conflict
-0.65,-0.625,-0.6375,10,0.039068604469448355,conflict
-0.625,-0.6,-0.6125,9,0.035161744022503515,conflict
-0.6,-0.575,-0.5874999999999999,14,0.05469604625722769,conflict
-0.575,-0.55,-0.5625,25,0.09767151117362088,conflict
-0.55,-0.525,-0.5375000000000001,22,0.08595092983278638,conflict
-0.525,-0.5,-0.5125,31,0.12111267385528988,conflict
-0.5,-0.475,-0.4875,41,0.16018127832473822,conflict
-0.475,-0.44999999999999996,-0.46249999999999997,55,0.21487732458196596,conflict
-0.44999999999999996,-0.425,-0.4375,46,0.1797155805594624,conflict
-0.425,-0.39999999999999997,-0.4125,75,0.29301453352086265,conflict
-0.39999999999999997,-0.375,-0.38749999999999996,76,0.2969213939678075,conflict
-0.375,-0.35,-0.3625,110,0.4297546491639319,conflict
-0.35,-0.32499999999999996,-0.33749999999999997,151,0.5899359274886701,conflict
-0.32499999999999996,-0.3,-0.3125,150,0.5860290670417253,conflict
-0.3,-0.27499999999999997,-0.2875,205,0.8009063916236911,conflict
-0.27499999999999997,-0.25,-0.26249999999999996,222,0.8673230192217534,conflict
-0.25,-0.22499999999999998,-0.2375,270,1.0548523206751055,conflict
-0.22499999999999998,-0.19999999999999996,-0.21249999999999997,336,1.3127051101734646,conflict
-0.19999999999999996,-0.17499999999999993,-0.18749999999999994,362,1.4142834817940304,conflict
-0.17499999999999993,-0.1499999999999999,-0.16249999999999992,482,1.8831067354274107,conflict
-0.1499999999999999,-0.125,-0.13749999999999996,580,2.2659790592280045,conflict
-0.125,-0.09999999999999998,-0.11249999999999999,722,2.820753242694171,conflict
-0.09999999999999998,-0.07499999999999996,-0.08749999999999997,844,3.297390217221441,conflict
-0.07499999999999996,-0.04999999999999993,-0.062499999999999944,1100,4.297546491639319,conflict
-0.04999999999999993,-0.02499999999999991,-0.03749999999999992,1452,5.672761368963901,conflict
-0.02499999999999991,0.0,-0.012499999999999956,2017,7.880137521487733,conflict
0.0,0.025000000000000022,0.012500000000000011,2822,11.025160181278325,non_conflict
0.025000000000000022,0.050000000000000044,0.03750000000000003,2881,11.25566494764807,non_conflict
0.050000000000000044,0.07500000000000007,0.06250000000000006,2285,8.927176121268948,non_conflict
0.07500000000000007,0.10000000000000009,0.08750000000000008,1775,6.934677293327082,non_conflict
0.10000000000000009,0.125,0.11250000000000004,1362,5.3211439287388655,non_conflict
0.125,0.15000000000000002,0.1375,990,3.8677918424753868,non_conflict
0.15000000000000002,0.17500000000000004,0.16250000000000003,758,2.961400218784185,non_conflict
0.17500000000000004,0.20000000000000007,0.18750000000000006,624,2.437880918893577,non_conflict
0.20000000000000007,0.2250000000000001,0.21250000000000008,456,1.7815283638068447,non_conflict
0.2250000000000001,0.25,0.23750000000000004,379,1.4807001093920924,non_conflict
0.25,0.27500000000000013,0.26250000000000007,338,1.3205188310673541,non_conflict
0.27500000000000013,0.30000000000000004,0.2875000000000001,246,0.9610876699484294,non_conflict
0.30000000000000004,0.32499999999999996,0.3125,216,0.8438818565400843,non_conflict
0.32499999999999996,0.3500000000000001,0.3375,200,0.7813720893889671,non_conflict
0.3500000000000001,0.375,0.36250000000000004,172,0.6719799968745116,non_conflict
0.375,0.40000000000000013,0.38750000000000007,129,0.5039849976558837,non_conflict
0.40000000000000013,0.42500000000000004,0.4125000000000001,101,0.3945929051414283,non_conflict
0.42500000000000004,0.4500000000000002,0.4375000000000001,99,0.3867791842475387,non_conflict
0.4500000000000002,0.4750000000000001,0.46250000000000013,77,0.3008282544147523,non_conflict
0.4750000000000001,0.5,0.48750000000000004,68,0.26566651039224876,non_conflict
0.5,0.5250000000000001,0.5125000000000001,36,0.14064697609001406,non_conflict
0.5250000000000001,0.55,0.5375000000000001,44,0.17190185966557275,non_conflict
0.55,0.5750000000000002,0.5625000000000001,27,0.10548523206751054,non_conflict
0.5750000000000002,0.6000000000000001,0.5875000000000001,17,0.06641662759806219,non_conflict
0.6000000000000001,0.625,0.6125,19,0.07423034849195187,non_conflict
0.625,0.6500000000000001,0.6375000000000001,21,0.08204406938584154,non_conflict
0.6500000000000001,0.675,0.6625000000000001,11,0.04297546491639319,non_conflict
0.675,0.7000000000000002,0.6875000000000001,13,0.05078918581028286,non_conflict
0.7000000000000002,0.7250000000000001,0.7125000000000001,3,0.011720581340834505,non_conflict
0.7250000000000001,0.75,0.7375,4,0.01562744178777934,non_conflict
0.75,0.7750000000000001,0.7625000000000001,2,0.00781372089388967,non_conflict
0.7750000000000001,0.8,0.7875000000000001,1,0.003906860446944835,non_conflict
0.8,0.8250000000000002,0.8125000000000001,3,0.011720581340834505,non_conflict
0.8250000000000002,0.85,0.8375000000000001,0,0.0,non_conflict
