"panel","varied_parameter","gamma","remasking_passes","dominance_ratio","stability","bootstrap_lower","bootstrap_upper"
"A","gamma","3.0","3","50.15291727094943","stable","42.41319873739024","55.81478284242897"
"A","gamma","6.0","3","35.55835391693884","stable","28.20813575630571","40.62512365352422"
"A","gamma","9.0","3","24.9069670502413","stable","21.723446442852016","28.053604127481506"
"B","K","6.0","1","73.78074934287527","unstable","44.77482546910179","88.50115919683623"
"B","K","6.0","3","35.55835391693884","stable","28.20813575630571","40.62512365352422"
"B","K","6.0","6","19.951633584924807","stable","16.292468276088968","23.278835163234135"
