coefficient,dominance_coordinate,coordinate_provenance,validation_auc_mean,validation_auc_sample_sd,pretraining_seed_count
0.2,0.635306297808212,historical_reference_scaled,0.7088767266106186,,1
0.3,0.952959446712318,reference_scaled,0.7103970570912983,0.0002434065672813137,3
0.45,1.429439170068477,reference_scaled,0.7108233275586966,,1
1,3.17653148904106,reference_scaled,0.7113288310256985,0.0007325617316687622,3
3,9.52959446712318,reference_scaled,0.7108660059750403,0.0003651806319627345,3
6,19.05918893424636,reference_scaled,0.7078811904365221,0.0008890989245559626,3
10,31.7653148904106,direct,0.7045411901029482,0.0015362445111720287,3
